"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Quality Data Model","Mapping: W5 Mapping","Mapping: RIM Mapping"
"AdverseEvent","QICore-AdverseEvent","AE
","",0,*,"","","","","An incident, near miss, unsafe condition, or untoward occurrence during treatment.","Actual or potential/avoided event causing unintended physical injury resulting from or contributed to by medical care, a research study or other healthcare setting factors that requires additional monitoring, treatment, or hospitalization, or that results in death.","","","","","","","","","",,,,,"",,,,"AdverseEvent",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","Diagnostic Study, Adverse Event or Device, Adverse Event or Laboratory Test, Adverse Event or Medication, Adverse Effects or Procedure, Adverse Event or Substance, Adverse Event","clinical.general","Entity. Role, or Act"
"AdverseEvent.type","","","",1,1,"Y","","Y","CodeableConcept
","actual | potential","This element defines the specific type of event that occurred or that was prevented from occurring.","","","","","","","","","",,"example","The type of adverse event: an incident, near-miss, or unsafe condition","http://hl7.org/fhir/ValueSet/adverse-event-type","",,,,"AdverseEvent.type",0,1,"","","what"
"AdverseEvent.subject","","patient
","",1,1,"Y","","Y","Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-patient}
Reference {http://hl7.org/fhir/StructureDefinition/ResearchSubject}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-medication}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-device}","Subject or group impacted by event","This subject or group impacted by the event. With a prospective adverse event, there will be no subject as the adverse event was prevented.","","","","","","","","","",,,,,"",,,,"AdverseEvent.subject",0,1,"","","who"
"AdverseEvent.date","","","",0,1,"","","Y","dateTime
","When the event occurred","The date (and perhaps time) when the adverse event occurred.","","","","","","","","","",,,,,"",,,,"AdverseEvent.date",0,1,"","","when.init"
"AdverseEvent.reaction","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-condition}
","Adverse Reaction Events linked to exposure to substance","Includes information about the reaction that occurred as a result of exposure to a substance (for example, a drug or a chemical).","","","","","","","","","",,,,,"",,,,"AdverseEvent.reaction",0,*,"",""
"AdverseEvent.location","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-location}
","Location where adverse event occurred","The information about where the adverse event occurred.","","","","","","","","","",,,,,"",,,,"AdverseEvent.location",0,1,"",""
"AdverseEvent.seriousness","","","",0,1,"","","Y","CodeableConcept
","Mild | Moderate | Severe","Describes the seriousness or severity of the adverse event.","","","","","","","","","",,"example","A subjective assessment of the severity of the adverse event as evaluated by the clinician.","http://hl7.org/fhir/ValueSet/adverse-event-seriousness","",,,,"AdverseEvent.seriousness",0,1,"",""
"AdverseEvent.outcome","","","",0,1,"","","Y","CodeableConcept
","resolved | recovering | ongoing | resolvedWithSequelae | fatal | unknown","Describes the type of outcome from the adverse event.","","","","","","","","","",,"required","TODO (and should this be required?)","http://hl7.org/fhir/ValueSet/adverse-event-outcome","",,,,"AdverseEvent.outcome",0,1,"",""
"AdverseEvent.recorder","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-patient}
Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-relatedperson}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-practitioner}","Who recorded the adverse event","Information on who recorded the adverse event. May be the patient or a practitioner.","","","","","","","","","",,,,,"",,,,"AdverseEvent.recorder",0,1,"","","who.author"
"AdverseEvent.eventParticipant","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}
Reference {http://hl7.org/fhir/StructureDefinition/Device}","Who  was involved in the adverse event or the potential adverse event","Parties that may or should contribute or have contributed information to the Act. Such information includes information leading to the decision to perform the Act and how to perform the Act (e.g. consultant), information that the Act itself seeks to reveal (e.g. informant of clinical history), or information about what Act was performed (e.g. informant witness).","","","","","","","","","",,,,,"",,,,"AdverseEvent.eventParticipant",0,1,"",""
"AdverseEvent.description","","","",0,1,"","","Y","string
","Description of the adverse event","Describes the adverse event in text.","","","","","","","","","",,,,,"",,,,"AdverseEvent.description",0,1,"",""
"AdverseEvent.suspectEntity","","","",0,*,"","","Y","BackboneElement
","The suspected agent causing the adverse event","Describes the entity that is suspected to have caused the adverse event.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"AdverseEvent.suspectEntity.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"AdverseEvent.suspectEntity.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"AdverseEvent.suspectEntity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"AdverseEvent.suspectEntity.instance","","Substance or Medication or Device
","",1,1,"Y","","Y","Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-substance}
Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-medication}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-medicationadministration}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-medicationstatement}Reference {http://hl7.org/fhir/us/qicore/StructureDefinition/qicore-device}","Refers to the specific entity that caused the adverse event","Identifies the actual instance of what caused the adverse event. May be a substance, medication, medication administration, medication statement or a device.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.instance",1,1,"",""
"AdverseEvent.suspectEntity.causality","","","",0,1,"","","Y","code
","causality1 | causality2","causality1 | causality2.","","","","","","","","","",,"required","The type of adverse event: an incident, near-miss, or unsafe condition","http://hl7.org/fhir/ValueSet/adverse-event-causality","",,,,"AdverseEvent.suspectEntity.causality",0,1,"",""
"AdverseEvent.suspectEntity.causalityAssessment","","","",0,1,"","","Y","CodeableConcept
","assess1 | assess2","assess1 | assess2.","","","","","","","","","",,"example","The degree of confidence that this condition is correct","http://hl7.org/fhir/ValueSet/adverse-event-causality-assess","",,,,"AdverseEvent.suspectEntity.causalityAssessment",0,1,"",""
"AdverseEvent.suspectEntity.causalityProductRelatedness","","","",0,1,"","","Y","string
","AdverseEvent.suspectEntity.causalityProductRelatedness","AdverseEvent.suspectEntity.causalityProductRelatedness.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.causalityProductRelatedness",0,1,"",""
"AdverseEvent.suspectEntity.causalityMethod","","","",0,1,"","","Y","CodeableConcept
","method1 | method2","method1 | method2.","","","","","","","","","",,"example","TODO","http://hl7.org/fhir/ValueSet/adverse-event-causality-method","",,,,"AdverseEvent.suspectEntity.causalityMethod",0,1,"",""
"AdverseEvent.suspectEntity.causalityAuthor","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}
Reference {http://hl7.org/fhir/StructureDefinition/PractitionerRole}","AdverseEvent.suspectEntity.causalityAuthor","AdverseEvent.suspectEntity.causalityAuthor.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.causalityAuthor",0,1,"",""
"AdverseEvent.suspectEntity.causalityResult","","","",0,1,"","","Y","CodeableConcept
","result1 | result2","result1 | result2.","","","","","","","","","",,"example","TODO","http://hl7.org/fhir/ValueSet/adverse-event-causality-result","",,,,"AdverseEvent.suspectEntity.causalityResult",0,1,"",""
"AdverseEvent.subjectMedicalHistory","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Condition}
Reference {http://hl7.org/fhir/StructureDefinition/Observation}Reference {http://hl7.org/fhir/StructureDefinition/AllergyIntolerance}Reference {http://hl7.org/fhir/StructureDefinition/FamilyMemberHistory}Reference {http://hl7.org/fhir/StructureDefinition/Immunization}Reference {http://hl7.org/fhir/StructureDefinition/Procedure}","AdverseEvent.subjectMedicalHistory","AdverseEvent.subjectMedicalHistory.","","","","","","","","","",,,,,"",,,,"AdverseEvent.subjectMedicalHistory",0,*,"",""
"AdverseEvent.referenceDocument","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}
","AdverseEvent.referenceDocument","AdverseEvent.referenceDocument.","","","","","","","","","",,,,,"",,,,"AdverseEvent.referenceDocument",0,*,"",""
"AdverseEvent.study","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/ResearchStudy}
","AdverseEvent.study","TODO.","","","","","","","","","",,,,,"",,,,"AdverseEvent.study",0,*,"",""
