"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Quality Data Model","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: W5 Mapping"
"FamilyMemberHistory","QICore-FamilyMemberHistory","","",0,*,"","","","","Information about patient's relatives, relevant for patient","Significant health events and conditions for a person related to the patient relevant in the context of care for the patient.","","","","","","","","","",,,,,"",,,,"FamilyMemberHistory",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}fhs-2:Can only have estimatedAge if age[x] is present {age.exists() or estimatedAge.empty()}fhs-3:Not Done Reason can only be specified if NotDone is ""true"" {notDone or notDoneReason.exists().not()}fhs-1:Can have age[x] or born[x], but not both {age.empty() or born.empty()}","Diagnosis, Family History","Not in scope for v2","Entity. Role, or Act","Observation[classCode=OBS, moodCode=EVN]","clinical.general"
"FamilyMemberHistory.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"FamilyMemberHistory.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"FamilyMemberHistory.deceased[x]","","","",0,1,"Y","","Y","boolean
AgeRangedatestring","Dead? How old/when?","Deceased flag or the actual or approximate age of the relative at the time of death for the family member history record.","","","","","","","","","",,,,,"",,,,"FamilyMemberHistory.deceased[x]",0,1,"","","player[classCode=LIV, determinerCode=INSTANCE].deceasedInd, deceasedDate (could be URG)  For age, you'd hang an observation off the role"
"FamilyMemberHistory.reasonCode","","","",0,*,"","","Y","CodeableConcept
","Why was family member history performed?","Describes why the family member history occurred in coded or textual form.","Textual reasons can be caprued using reasonCode.text.","","","","","","","","",,"example","Codes indicating why the family member history was done.","http://hl7.org/fhir/ValueSet/clinical-findings","",,,,"FamilyMemberHistory.reasonCode",0,*,"","",".reasonCode","why"
"FamilyMemberHistory.reasonReference","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Condition}
Reference {http://hl7.org/fhir/StructureDefinition/Observation}Reference {http://hl7.org/fhir/StructureDefinition/AllergyIntolerance}Reference {http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse}","Why was family member history performed?","Indicates a Condition, Observation, AllergyIntolerance, or QuestionnaireResponse that justifies this family member history event.","","","","","","","","","",,,,,"",,,,"FamilyMemberHistory.reasonReference",0,*,"","",".outboundRelationship[typeCode=RSON].target","why"
"FamilyMemberHistory.note","","","",0,*,"","","","Annotation
","General note about related person","This property allows a non condition-specific note to the made about the related person. Ideally, the note would be in the condition property, but this is not always possible.","","","","","","","","","",,,,,"",,,,"FamilyMemberHistory.note",0,*,"","","inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=ActCode#ANNGEN].value"
"FamilyMemberHistory.condition","","","",0,*,"","","","BackboneElement
","Condition that the related person had","The significant Conditions (or condition) that the family member had. This is a repeating section to allow a system to represent more than one condition per resource, though there is nothing stopping multiple resources - one per condition.","If none of the conditions listed have an outcome of ""death"" specified, that indicates that none of the specified conditions are known to have been the primary cause of death.","","","","","","","","",,,,,"",,,,"FamilyMemberHistory.condition",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
","inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=ActCode#ASSERTION, value<Diagnosis]"
"FamilyMemberHistory.condition.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"FamilyMemberHistory.condition.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"FamilyMemberHistory.condition.extension","condition-abatement","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/familymemberhistory-abatement}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","stop datetime"
"FamilyMemberHistory.condition.extension","condition-severity","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/familymemberhistory-severity}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","severity"
"FamilyMemberHistory.condition.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"FamilyMemberHistory.condition.code","","","",1,1,"Y","","","CodeableConcept
","Condition suffered by relation","The actual condition specified. Could be a coded condition (like MI or Diabetes) or a less specific string like 'cancer' depending on how much is known about the condition and the capabilities of the creating system.","","","","","","","","","",,"preferred","The code for the condition","http://hl7.org/fhir/us/core/ValueSet/us-core-problem","",,,,"FamilyMemberHistory.condition.code",1,1,"","","primary code",".value"
"FamilyMemberHistory.condition.outcome","","","",0,1,"","","","CodeableConcept
","deceased | permanent disability | etc.","Indicates what happened as a result of this condition.  If the condition resulted in death, deceased date is captured on the relation.","","","","","","","","","",,"example","The result of the condition for the patient; e.g. death, permanent disability, temporary disability, etc.","http://hl7.org/fhir/ValueSet/condition-outcome","",,,,"FamilyMemberHistory.condition.outcome",0,1,"","","outboundRelationship[typeCode=OUTC)].target[classCode=OBS, moodCode=EVN, code=ActCode#ASSERTION].value"
"FamilyMemberHistory.condition.onset[x]","","","",0,1,"","","","Age
RangePeriodstring","When condition first manifested","Either the age of onset, range of approximate age or descriptive string can be recorded.  For conditions with multiple occurrences, this describes the first known occurrence.","","Age of onset of a condition in relatives is predictive of risk for the patient.","","","","","","","",,,,,"",,,,"FamilyMemberHistory.condition.onset[x]",0,1,"","","start datetime","inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""Subject Age at measurement"", value<Diagnosis].value[@xsi:typeCode='TS' or 'IVL_TS']  Use originalText for string"
"FamilyMemberHistory.condition.note","","","",0,*,"","","","Annotation
","Extra information about condition","An area where general notes can be placed about this specific condition.","","","","","","","","","",,,,,"",,,,"FamilyMemberHistory.condition.note",0,*,"","","inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=ActCode#ANNGEN].value"
